<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXBC,D,09/11/10,00:00:00,10784.2600000,10944.3300000,10764.9700000,10847.1100000,0
MOEXBC,D,10/11/10,00:00:00,10847.1100000,10875.3900000,10727.4000000,10816.0000000,0
MOEXBC,D,11/11/10,00:00:00,10816.0000000,10824.9400000,10624.8200000,10625.0300000,0
MOEXBC,D,12/11/10,00:00:00,10625.0300000,10625.0300000,10474.6900000,10525.6200000,0
MOEXBC,D,13/11/10,00:00:00,10525.6200000,10536.7100000,10464.1900000,10510.7300000,0
MOEXBC,D,15/11/10,00:00:00,10510.7300000,10648.5100000,10472.7500000,10582.3400000,0
MOEXBC,D,16/11/10,00:00:00,10582.3400000,10582.3400000,10289.7700000,10289.7700000,0
MOEXBC,D,17/11/10,00:00:00,10289.7700000,10448.8300000,10289.7700000,10377.9000000,0
MOEXBC,D,18/11/10,00:00:00,10377.9000000,10585.6300000,10377.9000000,10562.8600000,0
MOEXBC,D,19/11/10,00:00:00,10562.8600000,10636.9200000,10496.0300000,10636.9200000,0
MOEXBC,D,22/11/10,00:00:00,10636.9200000,10728.4000000,10517.6900000,10570.3100000,0
MOEXBC,D,23/11/10,00:00:00,10570.3100000,10570.3100000,10401.1700000,10438.9400000,0
MOEXBC,D,24/11/10,00:00:00,10438.9400000,10666.0200000,10379.9100000,10655.0800000,0
MOEXBC,D,25/11/10,00:00:00,10655.0800000,10740.2300000,10613.7100000,10726.9600000,0
MOEXBC,D,26/11/10,00:00:00,10726.9600000,10749.9900000,10588.1800000,10645.7600000,0
MOEXBC,D,29/11/10,00:00:00,10645.7600000,10752.3200000,10541.7800000,10614.9200000,0
MOEXBC,D,30/11/10,00:00:00,10614.9200000,10695.6200000,10535.4400000,10649.9100000,0
MOEXBC,D,01/12/10,00:00:00,10649.9100000,10962.7700000,10649.9100000,10941.9600000,0
MOEXBC,D,02/12/10,00:00:00,10941.9600000,11152.2900000,10937.0600000,11152.2900000,0
MOEXBC,D,03/12/10,00:00:00,11152.2900000,11270.8200000,11085.4000000,11214.8600000,0
MOEXBC,D,06/12/10,00:00:00,11214.8600000,11384.8500000,11187.6500000,11365.1600000,0
MOEXBC,D,07/12/10,00:00:00,11365.1600000,11540.5900000,11318.5200000,11320.5800000,0
MOEXBC,D,08/12/10,00:00:00,11320.5800000,11432.1600000,11165.0200000,11209.8300000,0
MOEXBC,D,09/12/10,00:00:00,11209.8300000,11301.0700000,11171.6100000,11217.5100000,0
MOEXBC,D,10/12/10,00:00:00,11217.5100000,11300.6300000,11149.1900000,11283.3600000,0
MOEXBC,D,13/12/10,00:00:00,11283.3600000,11411.1200000,11283.3600000,11301.8100000,0
MOEXBC,D,14/12/10,00:00:00,11301.8100000,11369.7200000,11230.6700000,11335.9700000,0
MOEXBC,D,15/12/10,00:00:00,11335.9700000,11445.6100000,11263.4100000,11324.8400000,0
MOEXBC,D,16/12/10,00:00:00,11324.8400000,11366.0900000,11269.4200000,11312.1300000,0
MOEXBC,D,17/12/10,00:00:00,11312.1300000,11377.6600000,11302.8000000,11330.3500000,0
MOEXBC,D,20/12/10,00:00:00,11330.3500000,11330.3500000,11241.3200000,11314.9300000,0
MOEXBC,D,21/12/10,00:00:00,11314.9300000,11395.4200000,11302.4700000,11395.2300000,0
MOEXBC,D,22/12/10,00:00:00,11395.2300000,11445.3200000,11373.3400000,11420.9400000,0
MOEXBC,D,23/12/10,00:00:00,11420.9400000,11420.9400000,11368.8100000,11399.5000000,0
MOEXBC,D,24/12/10,00:00:00,11399.5000000,11413.8900000,11329.3500000,11354.8900000,0
MOEXBC,D,27/12/10,00:00:00,11354.8900000,11356.5400000,11269.3600000,11288.5700000,0
MOEXBC,D,28/12/10,00:00:00,11288.5700000,11319.8800000,11249.7400000,11313.1700000,0
MOEXBC,D,29/12/10,00:00:00,11313.1700000,11393.9100000,11305.8500000,11358.4400000,0
MOEXBC,D,30/12/10,00:00:00,11358.4400000,11417.7200000,11326.3100000,11412.9400000,0
MOEXBC,D,11/01/11,00:00:00,11412.9400000,11636.6400000,11410.0500000,11632.9400000,0
MOEXBC,D,12/01/11,00:00:00,11632.9400000,12000.9800000,11602.8500000,11970.1400000,0
MOEXBC,D,13/01/11,00:00:00,11970.1400000,12058.0800000,11882.4700000,11919.1500000,0
MOEXBC,D,14/01/11,00:00:00,11919.1500000,11979.6300000,11806.2500000,11942.5300000,0
MOEXBC,D,17/01/11,00:00:00,11942.5300000,12145.8900000,11942.5300000,12096.1300000,0
MOEXBC,D,18/01/11,00:00:00,12096.1300000,12233.2200000,11972.3100000,12071.2700000,0
MOEXBC,D,19/01/11,00:00:00,12071.2700000,12149.8400000,11984.6800000,12019.3500000,0
MOEXBC,D,20/01/11,00:00:00,12019.3500000,12019.3500000,11818.2400000,11868.0700000,0
MOEXBC,D,21/01/11,00:00:00,11868.0700000,11984.3700000,11763.8000000,11910.1800000,0
MOEXBC,D,24/01/11,00:00:00,11910.1800000,11954.0400000,11646.3400000,11787.3800000,0
MOEXBC,D,25/01/11,00:00:00,11787.3800000,11867.3500000,11692.4500000,11763.7400000,0
MOEXBC,D,26/01/11,00:00:00,11765.7600000,11996.8900000,11765.7600000,11984.4500000,0
MOEXBC,D,27/01/11,00:00:00,11984.4500000,12073.1900000,11932.4500000,12057.7300000,0
MOEXBC,D,28/01/11,00:00:00,12057.7300000,12057.7300000,11854.1200000,11861.7800000,0
MOEXBC,D,31/01/11,00:00:00,11861.7800000,11925.3900000,11730.4600000,11886.0900000,0
MOEXBC,D,01/02/11,00:00:00,11886.0900000,12160.9800000,11876.6900000,12112.4500000,0
MOEXBC,D,02/02/11,00:00:00,12112.4500000,12218.1000000,12066.2200000,12114.9800000,0
MOEXBC,D,03/02/11,00:00:00,12114.9800000,12203.2000000,11994.0500000,12069.3800000,0
MOEXBC,D,04/02/11,00:00:00,12069.3800000,12150.4500000,12031.8600000,12102.6500000,0
MOEXBC,D,07/02/11,00:00:00,12102.6500000,12174.1300000,11950.5700000,12080.3400000,0
MOEXBC,D,08/02/11,00:00:00,12080.3400000,12156.0000000,11870.9800000,11927.1900000,0
MOEXBC,D,09/02/11,00:00:00,11927.1900000,11945.3100000,11740.8100000,11788.3100000,0
MOEXBC,D,10/02/11,00:00:00,11788.3100000,11797.9600000,11495.3400000,11574.1900000,0
MOEXBC,D,11/02/11,00:00:00,11574.1900000,11842.7900000,11486.3900000,11827.4800000,0
MOEXBC,D,14/02/11,00:00:00,11827.4800000,11912.7100000,11686.1800000,11734.2300000,0
MOEXBC,D,15/02/11,00:00:00,11734.2300000,11796.8400000,11578.7400000,11593.2000000,0
