<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXCN,D,07/10/10,00:00:00,4627.0700000,4677.3300000,4627.0300000,4661.3600000,171299329
MOEXCN,D,08/10/10,00:00:00,4661.3900000,4694.3500000,4642.2200000,4670.2600000,319303325
MOEXCN,D,11/10/10,00:00:00,4670.5600000,4748.3900000,4669.1000000,4744.0300000,326048502
MOEXCN,D,12/10/10,00:00:00,4740.0300000,4792.7100000,4713.7400000,4789.1100000,322959582
MOEXCN,D,13/10/10,00:00:00,4789.2800000,4857.7200000,4787.3300000,4830.2400000,394577837
MOEXCN,D,14/10/10,00:00:00,4830.8500000,4848.9900000,4812.7400000,4831.1700000,301357893
MOEXCN,D,15/10/10,00:00:00,4831.4100000,4871.7200000,4822.6400000,4842.2800000,213573851
MOEXCN,D,18/10/10,00:00:00,4835.6200000,4921.7600000,4827.6600000,4900.6500000,202967878
MOEXCN,D,19/10/10,00:00:00,4900.7200000,4948.8800000,4888.9700000,4900.4100000,202612384
MOEXCN,D,20/10/10,00:00:00,4900.3100000,4923.8200000,4863.6700000,4916.8000000,175922434
MOEXCN,D,21/10/10,00:00:00,4916.0300000,4934.2700000,4904.0400000,4921.5300000,116639317
MOEXCN,D,22/10/10,00:00:00,4918.7300000,4922.1900000,4870.3700000,4896.3300000,96770416
MOEXCN,D,25/10/10,00:00:00,4896.3200000,4924.6900000,4884.6500000,4910.8300000,227422546
MOEXCN,D,26/10/10,00:00:00,4910.8200000,4940.3700000,4895.2900000,4916.6500000,223228940
MOEXCN,D,27/10/10,00:00:00,4918.8500000,4955.6800000,4908.7100000,4938.6400000,147154498
MOEXCN,D,28/10/10,00:00:00,4938.6500000,5041.6500000,4937.8800000,5040.2600000,141822954
MOEXCN,D,29/10/10,00:00:00,5040.1200000,5090.0300000,5019.5600000,5028.0900000,131041837
MOEXCN,D,01/11/10,00:00:00,5028.0900000,5100.8900000,5001.5900000,5054.3900000,129361343
MOEXCN,D,02/11/10,00:00:00,5054.3900000,5076.2600000,5034.9400000,5035.1700000,59053168
MOEXCN,D,03/11/10,00:00:00,5035.0700000,5056.3900000,5015.1800000,5017.8200000,52343364
MOEXCN,D,08/11/10,00:00:00,5017.7800000,5089.6900000,4996.7900000,5001.6900000,110548340
MOEXCN,D,09/11/10,00:00:00,5002.2600000,5009.3300000,4960.0200000,5005.8400000,155271146
MOEXCN,D,10/11/10,00:00:00,5005.7800000,5054.9400000,4954.4800000,4966.6000000,488368366
MOEXCN,D,11/11/10,00:00:00,4970.4600000,5015.4200000,4942.6700000,4981.4400000,222713397
MOEXCN,D,12/11/10,00:00:00,4977.4600000,4981.9300000,4932.8300000,4952.5600000,158282632
MOEXCN,D,13/11/10,00:00:00,4952.5600000,4962.1500000,4922.5300000,4955.7400000,59912723
MOEXCN,D,15/11/10,00:00:00,4957.3200000,5026.6600000,4944.8000000,5010.4600000,95460213
MOEXCN,D,16/11/10,00:00:00,5008.8200000,5071.0100000,5001.5300000,5029.0100000,161409981
MOEXCN,D,17/11/10,00:00:00,5029.0100000,5090.8700000,4989.6500000,5047.7500000,136904845
MOEXCN,D,18/11/10,00:00:00,5049.2500000,5150.9700000,5048.9800000,5113.8200000,195680928
MOEXCN,D,19/11/10,00:00:00,5126.9600000,5153.8100000,5111.3100000,5134.0500000,226197734
MOEXCN,D,22/11/10,00:00:00,5135.0800000,5168.8700000,5122.2000000,5124.1400000,130336836
MOEXCN,D,23/11/10,00:00:00,5123.8400000,5159.1300000,5105.2700000,5156.1500000,139920084
MOEXCN,D,24/11/10,00:00:00,5155.7700000,5224.3300000,5148.5800000,5218.7400000,109982199
MOEXCN,D,25/11/10,00:00:00,5218.8300000,5306.0500000,5214.7800000,5298.0200000,171648357
MOEXCN,D,26/11/10,00:00:00,5298.0400000,5410.0100000,5286.3300000,5372.9000000,107140042
MOEXCN,D,29/11/10,00:00:00,5373.0500000,5416.6900000,5333.5900000,5346.8600000,328457501
